movieId,status
124626,Returning Series
278,Returning Series
8987,Ended
1637,Ended
10395,Ended
10398,Ended
27995,Ended
24873,Ended
12773,Ended
17882,Ended
27418,Ended
68149,Ended
24549,Returning Series
19953,Returning Series
17641,Ended
22561,Ended
14980,Ended
876,Ended
2438,Ended
44026,Ended
16082,Ended
8677,Ended
18917,Ended
13057,Ended
2670,Ended
215993,Ended
13519,Ended
152426,Returning Series
30983,Returning Series
7096,Ended
110147,Ended
206216,Ended
19341,Ended
36763,Ended
13716,Ended
10700,Ended
6795,Ended
7873,Returning Series
58923,Ended
17266,Ended
253768,Returning Series
244797,Ended
225130,Ended
30266,Ended
114796,Ended
13905,Ended
12224,Ended
51247,Returning Series
9795,Ended
18884,Ended
14301,Ended
62128,Ended
67479,Ended
19422,Ended
17632,Ended
61872,Ended
38745,Ended
110639,Returning Series
202241,Returning Series
75964,Returning Series
94174,Returning Series
75174,Returning Series
54507,Ended
59017,Canceled
26397,Ended
83191,Ended
202043,Returning Series
18867,Ended
110392,Returning Series
69372,Returning Series
134481,Ended
138832,Returning Series
51452,Ended
253941,Returning Series
230657,Ended
110414,Ended
97370,Returning Series
120605,Returning Series
198184,Ended
289394,Returning Series
133365,Ended
202249,Ended
125336,Returning Series
278468,Returning Series
117098,Returning Series
65973,Ended
278604,Ended
134777,Returning Series
27934,Ended
200813,Returning Series
127605,Ended
72093,Returning Series
72095,Canceled
126889,Ended
65595,Ended
213313,Canceled
26787,Ended
106035,Returning Series
